8/5 22:02:25.304  ARENA_MATCH_START,1505,33,Skirmish,0
8/5 22:01:42.907  COMBATANT_INFO,Player-3674-081A1F87,1,2198,307,4842,305,0,0,0,88,88,88,185,0,958,958,958,0,478,1432,1432,1432,1857,72,(280721,103827,335077,208154,335070,46924,202751),(0,356353,213857,352998),[4,4,[],[(1122),(1126),(1135),(1121),(1128),(1124),(1130),(1136),(1819),(1821),(1823),(1824)],[(158,278),(50,278),(9,278),(5,278),(52,278),(191,278)]],[(188942,285,(),(8116,8151,7580,7545,1492,6646),(173127,120)),(173144,262,(),(7881,7891),(173129,120)),(188941,285,(),(6652,8152,7539,1492,6646),()),(0,0,(),(),()),(188938,285,(6230,0,0),(6652,7545,8153,1492),()),(186851,285,(),(8136,8137,6652,7539,1544,6646,7580),(173127,120)),(186846,285,(),(8136,8116,7545,1544,6646),()),(186840,285,(6207,0,0),(7539,8136,8137,6652,1544,6646),()),(186853,285,(6222,0,0),(8136,8138,7580,7533,1544,6646),(173127,120)),(188937,285,(6210,0,0),(8117,8154,7539,1492,6646),()),(178926,291,(6170,0,0),(8130,7882,8156,6649,6650,1588,6935),(173126,118)),(178926,291,(6170,0,0),(6959,7882,8156,6649,6650,1588,6935),(173129,120)),(186869,285,(),(7533,1544,6646),()),(186867,285,(),(7539,1544,6646),()),(186781,285,(6202,0,0),(8136,8138,7533,1544,6646),()),(186862,285,(6228,0,0),(7551,6652,1544,6646),()),(186862,285,(6229,0,0),(7551,1544,6646),()),(0,0,(),(),())],[Player-3674-081A1F87,6673,Player-3674-05ABF767,21562],273,33,0,0
8/5 22:01:42.907  COMBATANT_INFO,Player-1623-08DAD60D,0,173,345,4482,2440,0,0,0,141,141,141,30,0,896,896,896,0,41,1219,1219,1219,464,265,(334319,196102,108416,205179,6789,108503,113860),(0,212295,344566,335052),[2,3,[],[(824),(827),(830),(832),(834),(836),(837),(870),(1843),(1845),(1847),(1848)],[(202,239),(162,226),(220,226),(283,239),(201,226),(171,226)]],[(185258,252,(),(7574,7320,1511,6646),()),(192353,285,(),(8296,1582,6646),()),(185186,252,(),(6652,7314,1511,6646),()),(0,0,(),(),()),(185165,252,(6265,0,0),(7320,1511,6646),()),(190469,265,(0,0,4223),(6652,7578),()),(190621,259,(),(6652,8133,8116,1505,6646),()),(173243,262,(6207,0,0),(7712,7451,6649,6650,1559,8156),()),(192384,285,(6220,0,0),(8296,1582,6646),()),(192330,285,(6205,0,0),(8303,1582,6646),()),(185192,252,(6166,0,0),(6652,7575,7308,1511,6646),()),(192347,285,(6166,0,0),(8296,1582,6646),()),(185304,252,(),(7308,1511,6646),()),(188775,262,(),(7534,1521,6646),()),(192355,285,(6202,0,4897),(8296,1582,6646),()),(192398,285,(6229,0,0),(8317,1582,6646),()),(0,0,(),(),()),(0,0,(),(),())],[Player-1623-08DAD60D,5697],581,33,0,0
8/5 22:01:42.907  COMBATANT_INFO,Player-1623-03E4E265,0,190,451,4086,2557,0,0,0,276,276,276,0,0,727,727,727,0,401,1124,1124,1124,2140,264,(73685,108283,51485,198838,30884,280614,114052),(0,236501,353115,290254),[4,4,[],[(1121),(1122),(1124),(1126),(1128),(1129),(1135),(1136),(1822),(1819),(1820),(1824)],[(96,239),(117,239),(94,239),(118,239),(93,239),(147,239)]],[(188923,272,(),(7900,7578,8151,1479),()),(192353,285,(),(8296,1582,6646),()),(188920,272,(),(7897,8152,1479),()),(0,0,(),(),()),(188922,272,(),(7900,8153,1479),()),(172328,291,(),(6986,6649,6650,6935,8156,7882,1588),(173129,120)),(188924,272,(),(7900,8155,1479),()),(188926,272,(),(7897,1479),()),(172329,291,(),(8128,7882,8156,6648,6650,1588,6935),()),(192367,285,(),(8303,1582,6646),()),(192347,285,(),(8296,1582,6646),()),(192391,285,(),(8296,1582,6646),()),(186869,272,(),(7894,1531,6646),()),(188775,272,(),(7897,1531,6646),()),(192355,285,(),(8296,1582,6646),()),(192404,285,(),(8331,1582,6646),()),(192405,285,(),(8324,1582,6646),()),(0,0,(),(),())],[Player-1623-08DAD60D,5697],581,33,0,0
8/5 22:01:42.907  COMBATANT_INFO,Player-3682-0AB897EE,1,174,343,4705,2226,0,0,0,88,88,88,30,0,1129,1129,1129,0,96,1137,1137,1137,474,266,(264078,603,219272,267170,6789,111898,267215),(0,212628,212295,353601),[1,3,[],[(850),(859),(863),(864),(866),(994),(995),(1010),(1837),(1839),(1841),(1842)],[(204,239),(206,226),(283,213),(168,226),(207,239),(171,213)]],[(186796,262,(),(7540,8136,8116,6652,7580,1521,6646),(173128,120)),(178927,291,(),(8129,7882,8156,6650,6649,1588,6935),()),(188888,268,(),(8117,8152,7535,1475,6646),()),(44694,1,(),(),()),(188884,268,(6230,0,0),(8116,6652,8153,7541,1475,6646),()),(186802,268,(),(8136,8137,6652,7579,7535,1527,6646),()),(185181,259,(),(6652,7321,1518,6646),()),(173243,291,(),(7026,7882,8156,6649,6650,1588),()),(186805,268,(),(8136,8138,6652,7578,7529,1527,6646),()),(188890,268,(),(8117,8154,7535,1475,6646),()),(173133,262,(6166,0,0),(7881),(173128,120)),(186784,272,(6166,0,0),(7894,6652,7579,1531,6646),()),(185278,246,(),(7313,6652,1505,6646),()),(185304,255,(),(7861,1514,6646),()),(186781,262,(6202,0,0),(7528,8136,8138,1521,6646),()),(186865,262,(6229,0,0),(7546,1521,6646),()),(0,0,(),(),()),(0,0,(),(),())],[Player-3674-081A1F87,6673,Player-3674-05ABF767,21562],240,33,384,0
8/5 22:01:42.907  COMBATANT_INFO,Player-3674-05ABF767,1,263,372,4548,2556,0,0,0,206,206,206,103,0,710,710,710,0,459,1305,1305,1305,534,256,(193134,64129,129250,196704,280391,204197,238063),(0,215768,236499,356085),[18,1,[],[(1380),(1412),(1418),(1834),(1379),(1381),(1415),(1416),(1408),(1831),(1832),(1836)],[(72,278),(283,278),(67,278),(87,278),(81,278),(75,278)]],[(188880,285,(),(6652,7544,7580,8151,1495),(173129,120)),(186787,285,(),(7533,1544,6646,7580),(173129,120)),(188879,285,(),(6652,8152,7538,1495,6646),()),(0,0,(),(),()),(186790,285,(6217,0,0),(8136,8116,7545,1544,6646),()),(173248,291,(),(8126,7882,8156,6647,6648,1588,6935),(173129,120)),(188878,285,(),(8155,7544,1495,6646),()),(173243,291,(6207,0,0),(6976,7882,8156,6649,6647,1588),()),(186805,285,(6220,0,0),(8136,8138,7532,1547,6646,7580),(173129,120)),(188881,285,(),(8117,7538,8154,1495),()),(186784,285,(6170,0,0),(7533,1544,6646,7580),(173129,120)),(186786,285,(6170,0,0),(7533,1544,6646,7580),(173126,118)),(186869,285,(),(7533,1544,6646),()),(186867,285,(),(7539,1544,6646),()),(186781,285,(6202,0,0),(8136,8138,7532,1547,6646),()),(186865,285,(6229,0,0),(7550,1547,6646),()),(0,0,(),(),()),(0,0,(),(),())],[Player-3674-05ABF767,21562],327,33,0,0
8/5 22:01:42.907  COMBATANT_INFO,Player-1623-03573605,0,1958,370,4159,242,0,0,0,0,0,0,0,0,522,522,522,0,528,1288,1288,1288,1715,251,(253593,207061,108194,207142,212552,194912,281238),(0,356332,47476,305392),[4,4,[],[(1123),(1135),(1130),(1122),(1124),(1126),(1128),(1136),(1819),(1820),(1822),(1824)],[(283,200),(79,171),(127,200),(108,200),(91,200)]],[(192318,285,(),(8310,1582,6646),()),(178927,225,(),(6946,6648,6650,6718,1522,6935,8156),(173129,120)),(192376,265,(),(8297,1543,6616),()),(0,0,(),(),()),(192321,275,(),(8307,1563,6646),()),(192379,265,(),(8297,1543,6616),()),(192275,288,(),(8351,8136,8116,1547,6646),()),(192324,265,(),(8297,1543,6616),()),(192385,265,(),(8290,1543,6616),()),(192365,265,(),(8297,1543,6616),()),(192347,265,(),(8290,1543,6616),()),(192391,265,(),(8290,1543,6616),()),(186980,239,(),(7706,7312,1478,6646),()),(192412,265,(),(8290,1543,6616),()),(192390,265,(),(8290,1543,6616),()),(192401,285,(3368,0,0),(8317,1582,6646),()),(0,0,(),(),()),(0,0,(),(),())],[Player-1623-03573605,334692],218,33,0,0
8/5 22:01:42.927  SPELL_AURA_REMOVED,Pet-0-3889-1-888-17252-0102E271A3,"Skelraksha",0x1112,0x0,Pet-0-3889-1-888-17252-0102E271A3,"Skelraksha",0x1112,0x0,32727,"Arena Preparation",0x1,BUFF
8/5 22:01:43.041  SPELL_AURA_APPLIED,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,2580,"Find Minerals",0x1,BUFF
8/5 22:01:43.041  SPELL_AURA_APPLIED,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,253595,"Inexorable Assault",0x10,BUFF
8/5 22:01:43.041  SPELL_AURA_APPLIED,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,Player-1623-03573605,"Простожуть-Дракономор",0x548,0x0,186403,"Sign of Battle",0x1,BUFF
