11/2 19:02:57.514  ARENA_MATCH_START,980,0,Brawl Solo Shuffle,0
11/2 18:54:04.601  COMBATANT_INFO,Player-2073-094DF239,0,196,447,4229,2532,0,0,0,290,290,290,0,0,311,311,311,0,441,1613,1613,1613,2330,264,[(81106,102004,1),(81057,101945,1),(81056,101944,1),(81068,101957,1),(81071,101961,1),(81066,101955,1),(81081,101974,2),(81027,101905,1),(81022,101900,1),(81026,101904,1),(81028,101906,2),(81033,101913,1),(81032,101912,1),(81044,101928,1),(81018,101895,1),(81019,101897,1),(81020,101898,2),(81021,101899,1),(81054,101941,2),(81055,101942,1),(81047,101932,2),(81037,101918,1),(81046,101931,1),(81065,101953,1),(81069,101958,1),(81080,101973,1),(81082,101975,1),(81092,101988,2),(81105,102003,1),(81049,101935,1),(81099,101997,1),(81104,102002,2),(81100,101998,1),(81061,101949,1),(81017,101894,1),(81023,101901,1),(81096,101993,1),(81097,101995,1),(81098,101996,2),(81048,101934,1),(81050,101936,1),(81095,101992,1),(81064,101952,1),(81062,101950,1),(81063,101951,1)],(0,204336,204330,353115),[18,1,[],[(1379),(1380),(1381),(1408),(1412),(1415),(1416),(1418),(1831),(1833),(1835),(1836)],[(96,200),(94,200),(146,200),(117,200),(118,200),(95,200)]],[(185178,278,(),(7574,7321,1518,6646),()),(192218,298,(),(7578,8382,1557,6646),()),(192261,288,(),(8345,8136,8117,1547,6646),()),(0,0,(),(),()),(192251,288,(),(8351,8136,8116,1547,6646),()),(192264,288,(),(7579,8345,8136,8137,1547,6646),()),(192260,288,(),(8351,8136,8116,1547,6646),()),(172323,278,(),(7722,7451,6650,6647,1559,8156),()),(192266,288,(),(7578,8339,8136,8138,1547,6646),()),(192255,298,(),(6652,8385,8136,8117,1557,6646),()),(192215,298,(6168,0,0),(7578,8382,1557,6646),()),(192391,285,(6168,0,0),(8296,1582,6646),()),(192296,288,(),(8345,1547,6646),()),(185304,278,(),(7309,6652,1518,6646),()),(192210,288,(),(8339,8136,8138,1547,6646),()),(192311,298,(6229,6498,0),(8397,1557,6646),()),(192306,301,(),(8365,1560,6646),()),(0,0,(),(),())],[],312,0,0,0
11/2 18:54:04.601  COMBATANT_INFO,Player-580-0A594065,0,198,306,3276,2103,0,0,0,443,443,443,0,0,610,610,610,0,315,1068,1068,1068,508,62,[(62120,80179,1),(62122,80181,1),(62118,80177,1),(62116,80175,1),(62115,80174,1),(62113,80171,1),(62124,80183,1),(62105,80163,1),(62102,80159,1),(62098,80155,1),(62101,80158,2),(62127,80187,1),(62237,80306,1),(62238,80307,1),(62239,80308,1),(62240,80309,2),(62230,80299,1),(62229,80298,1),(62228,80297,2),(62226,80295,1),(62227,80296,1),(62225,80294,1),(62222,80291,1),(62224,80293,1),(62130,80190,1),(62241,80310,1),(62233,80302,1),(62146,80208,1),(62234,80303,1),(62084,80140,1),(62125,80185,1),(62143,80204,1),(62091,80147,1),(62088,80144,1),(62089,80145,1),(62090,80146,1),(62097,80154,1),(62099,80156,2),(62103,80160,1),(62107,80165,2),(62110,80168,1),(62232,80301,1),(62134,80194,1),(62223,80292,2),(62231,80300,1),(62121,80180,1)],(0,353082,276741,353128),[7,1,[],[(1306),(1309),(1310),(1312),(1315),(1316)],[(26,145),(48,145),(40,145)]],[(188009,278,(),(6652,7579,8146,1472),()),(192353,278,(),(8290,1543,6616),()),(188037,278,(),(6652,8146,1472),()),(0,0,(),(),()),(188006,278,(),(6652,8146,1472),()),(188011,278,(),(6652,7579,8146,1472),()),(188010,278,(),(41,8146,1472),()),(192325,278,(),(8297,1543,6616),()),(188012,278,(),(6652,7578,8146,1472),()),(188008,278,(),(6652,8146,1472),()),(192347,278,(),(8290,1543,6616),()),(192383,278,(),(8290,1543,6616),()),(159616,72,(),(4777,6513,1485,4785),()),(175719,114,(),(6707),()),(192355,278,(),(8290,1543,6616),()),(181636,278,(),(7890,6652),()),(188039,278,(),(6652,8146,1472),()),(0,0,(),(),())],[Player-580-0A594065,384651,Player-580-0A594065,384581,Player-580-0A594065,321526],17,0,192,0
11/2 18:54:04.601  COMBATANT_INFO,Player-1335-09D86B90,0,371,2371,4802,306,0,0,0,350,350,350,67,0,43,43,43,0,743,1531,1531,1531,980,261,[(90727,112615,1),(90740,112630,1),(90739,112629,1),(90764,112657,1),(90737,112627,1),(90697,112585,1),(90726,112614,1),(90729,112617,1),(90684,112572,1),(90709,112597,1),(90742,112632,1),(90724,112612,1),(90693,112581,2),(90723,112611,2),(90692,112580,1),(90734,112623,2),(90695,112583,1),(90736,112626,1),(90753,112645,2),(90752,112644,1),(90722,112610,1),(90746,112636,1),(90747,112637,1),(90702,112590,1),(90691,112579,1),(90689,112577,1),(90690,112578,2),(90713,112601,1),(90732,112620,2),(90738,112628,1),(90696,112584,1),(90728,112616,1),(90735,112625,1),(90741,112631,1),(90755,112647,1),(90685,112573,1),(90687,112575,1),(90688,112576,1),(90694,112582,1),(90701,112589,1),(90730,112618,1),(90731,112619,2),(90733,112621,1),(90749,112640,2)],(0,207736,359053,207777),[8,2,[],[(1393),(1406),(1397),(1399),(1405),(1866),(1870),(1395),(1398),(1404),(1868)],[(233,278),(235,278),(232,278),(245,278),(231,278),(229,278)]],[(188901,304,(),(7578,8151,8389,1511,6646),()),(192218,304,(),(8383,1563,6646,7580),(173130,120)),(188905,304,(),(8152,8386,1511,6646),()),(0,0,(),(),()),(172314,291,(6216,0,0),(8127,7882,8156,6648,6650,1588),()),(192247,304,(),(7578,8136,8137,8386,1563,6646),()),(188902,304,(),(8155,8389,1511,6646),()),(192237,304,(6211,0,0),(8136,8137,8386,1563,6646),()),(192250,304,(),(8136,8138,8383,1563,6646,7580),(173130,120)),(188907,304,(),(8154,8386,1511,6646),()),(192215,304,(6168,0,0),(7578,8383,1563,6646),()),(178926,291,(6168,0,0),(7111,7882,8156,6648,6650,1588,6935),(173126,118)),(192298,304,(),(8383,1563,6646),()),(192303,304,(),(6652,8386,1563,6646),()),(192211,304,(6202,0,0),(8136,8138,8383,1563,6646),()),(192285,304,(6229,0,0),(8401,1563,6646),()),(192313,304,(6228,0,0),(8401,1563,6646),()),(19032,12,(),(),())],[Player-1335-09D86B90,340094],83,0,1800,0
11/2 18:54:04.601  COMBATANT_INFO,Player-1084-0979C1C5,1,263,372,4942,2874,0,0,0,138,138,138,30,0,957,957,957,0,293,1513,1513,1513,608,256,[(82594,103723,1),(82593,103722,1),(82592,103721,1),(82595,103724,1),(82596,103725,1),(82564,103687,1),(82589,103717,1),(82587,103713,1),(82598,103727,1),(82599,103728,2),(82577,103702,1),(82590,103718,1),(82600,103729,2),(82578,103703,2),(82583,103709,2),(82591,103719,1),(82575,103700,1),(82568,103693,2),(82567,103692,1),(82601,103731,1),(82714,103866,1),(82703,103853,1),(82707,103858,1),(82701,103851,1),(82700,103850,1),(82718,103870,1),(82720,103872,1),(82708,103860,1),(82694,103844,1),(82721,103873,1),(82706,103856,1),(82697,103847,2),(82684,103833,2),(82692,103842,1),(82709,103861,2),(82696,103846,1),(82683,103832,1),(82678,103825,1),(82677,103823,2),(82676,103822,1),(82679,103826,2),(82713,103865,1),(82717,103869,1)],(0,356085,215768,236499),[18,1,[],[(1379),(1380),(1381),(1408),(1412),(1415),(1416),(1418),(1831),(1832),(1834),(1836)],[(69,278),(72,278),(75,278),(81,278),(87,278),(66,278)]],[(188880,311,(),(6652,7578,8151,8356,1518,6646),()),(192216,311,(),(8344,1570,6646,7580),(173128,120)),(188879,307,(),(8152,8348,1514,6646),()),(0,0,(),(),()),(188875,304,(6217,0,0),(8153,8389,1511,6646),()),(173248,291,(),(8126,8156,6649,6650,6935,7882,1588),(173129,120)),(192227,307,(),(8136,8116,8354,1566,6646),()),(173243,291,(),(6976,7882,8156,6649,6650,1588),()),(192234,307,(6220,0,0),(8136,8138,8342,1566,6646,7580),(173128,120)),(188881,307,(),(8154,8348,1514,6646),()),(192213,304,(6170,0,0),(8383,1563,6646,7580),(173128,120)),(192215,304,(6170,0,0),(7580,8383,1563,6646),(173129,120)),(192298,301,(),(8341,1560,6646),()),(192296,304,(),(8386,1563,6646),()),(192210,307,(6202,0,0),(8136,8138,8342,1566,6646),()),(192294,311,(6229,0,0),(8362,1570,6646),()),(0,0,(),(),()),(172651,40,(),(),())],[Player-1084-0979C1C5,390636,Player-1084-0979C1C5,373456,Player-1098-0A781F24,6673],336,0,2107,0
11/2 18:54:04.601  COMBATANT_INFO,Player-1098-0A781F24,1,2176,308,4130,305,0,0,0,86,86,86,0,0,938,938,938,0,268,1375,1375,1375,1782,72,[(90386,112254,1),(90326,112183,1),(90372,112239,1),(90371,112238,1),(90350,112213,1),(90346,112208,1),(90385,112253,1),(90344,112206,1),(90336,112197,1),(90353,112217,1),(90367,112234,1),(90355,112219,1),(90382,112249,1),(90378,112245,1),(90377,112244,1),(90258,112108,2),(90365,112232,1),(90392,112261,1),(90396,112265,1),(90398,112267,1),(90430,112301,1),(90395,112264,1),(90394,112263,1),(90390,112259,1),(90429,112300,1),(90428,112299,1),(90408,112277,1),(90406,112275,1),(90407,112276,1),(90411,112280,1),(90412,112281,1),(90409,112278,1),(90427,112298,1),(90387,112255,1),(90410,112279,1),(90426,112297,1),(90416,112286,2),(90418,112289,1),(90373,112240,1),(90362,112226,1),(90348,112210,1),(90329,112186,1),(90330,112187,1),(90337,112198,1),(90360,112224,1),(90384,112252,1),(90393,112262,1),(90415,112284,1),(90417,112287,1),(90325,112182,1)],(0,352998,213857,356353),[7,1,[],[(1310),(1312),(1313),(1315),(1316),(1317),(1765)],[(8,145),(154,145),(27,145)]],[(192318,285,(),(8310,1582,6646),()),(192353,278,(),(8290,1543,6616),()),(192376,278,(),(8297,1543,6616),()),(0,0,(),(),()),(192321,278,(),(8307,1563,6646),()),(192379,278,(),(8297,1543,6616),()),(192335,278,(),(8304,1543,6616),()),(192324,278,(),(8298,1550,6646),()),(192385,278,(),(8290,1543,6616),()),(192365,278,(),(8297,1543,6616),()),(192391,278,(),(8290,1543,6616),()),(192347,278,(),(8290,1543,6616),()),(192388,278,(),(8297,1543,6616),()),(192412,278,(),(8290,1543,6616),()),(192355,278,(),(8290,1543,6616),()),(192401,278,(6229,0,0),(8313,1556,6646),()),(189800,278,(),(8756,41,1511,6646),()),(0,0,(),(),())],[Player-1098-0A781F24,6673],10,0,480,0
11/2 18:54:04.601  COMBATANT_INFO,Player-1929-0675D6C6,1,1907,155,3883,449,0,0,0,453,453,453,0,0,526,526,526,0,0,1558,1558,1558,1869,70,[(81602,102589,2),(81597,102583,1),(81600,102587,1),(81632,102625,1),(81605,102592,1),(81603,102590,1),(81606,102593,1),(81604,102591,1),(81609,102597,2),(81616,102604,1),(81629,102621,2),(81615,102603,1),(81617,102606,1),(81526,102498,1),(81529,102501,1),(81547,102523,1),(81528,102500,1),(81546,102522,1),(81513,102482,1),(81521,102491,1),(81524,102495,1),(81525,102497,1),(81552,102529,1),(81516,102485,2),(81507,102476,1),(81520,102490,1),(81527,102499,1),(81545,102521,1),(81598,102584,1),(81619,102609,2),(81510,102479,1),(81601,102588,1),(81532,102504,1),(81533,102505,2),(81535,102508,1),(81542,102516,1),(81543,102517,1),(81551,102527,1),(81618,102607,1),(81620,102610,1),(81621,102612,2),(81628,102620,1),(81631,102624,1),(81548,102524,1),(81549,102525,2)],(0,204934,210256,210323),[7,1,[],[(1308),(1316),(1813),(1815),(1816),(1313),(1303),(1305),(1310),(1312),(1315),(1811)],[(159,226),(163,200),(129,213),(182,200),(176,213)]],[(192354,285,(),(8310,1582,6646),()),(185198,278,(),(7306,6652,7574,1498,6646),()),(185185,278,(),(7312,1498,6646),()),(0,0,(),(),()),(192321,285,(6230,0,0),(8310,1582,6646),()),(185269,278,(0,0,4223),(7312,6652,7574,1498,6646),()),(185144,278,(),(7276,1530,6646),()),(185169,278,(6207,0,0),(7312,1498,6646),()),(185194,278,(6222,0,0),(7305,7574,1492,6646),()),(185174,278,(6210,0,0),(6652,7312,1498,6646),()),(173131,278,(6170,0,0),(6649,7461),(173129,120)),(185233,278,(6170,0,0),(7262,1530,6646),()),(185309,278,(),(7262,1530,6646),()),(185161,278,(),(7269,1530,6646),()),(173242,278,(6208,0,4897),(7064,7451,6647,6650,1559,8156),()),(188668,278,(),(7323,1492,6646),()),(0,0,(),(),()),(0,0,(),(),())],[Player-1929-0675D6C6,267344,Player-1098-0A781F24,6673],98,0,96,0
11/2 18:54:04.641  SPELL_AURA_APPLIED,Player-580-0A594065,"Cocojamba-Blackmoore",0x548,0x0,Player-580-0A594065,"Cocojamba-Blackmoore",0x548,0x0,225788,"Sign of the Emissary",0x1,BUFF
11/2 18:54:04.641  SPELL_AURA_APPLIED,Player-580-0A594065,"Cocojamba-Blackmoore",0x548,0x0,Player-580-0A594065,"Cocojamba-Blackmoore",0x548,0x0,321388,"Enlightened",0x40,BUFF
11/2 18:54:04.641  SPELL_AURA_APPLIED,Player-580-0A594065,"Cocojamba-Blackmoore",0x548,0x0,Player-580-0A594065,"Cocojamba-Blackmoore",0x548,0x0,235450,"Prismatic Barrier",0x40,BUFF,16622
11/2 18:54:04.641  SPELL_AURA_APPLIED,Player-2073-094DF239,"Gaggaroth-Stormscale",0x548,0x0,Player-580-0A594065,"Cocojamba-Blackmoore",0x548,0x0,974,"Earth Shield",0x8,BUFF
